xid,0.001,0.005,0.01,0.02,ead
145,100.667,100.667,100.667,100.667,26.173
146,69.968,69.968,69.968,61.222,16.049
147,89.645,89.645,89.645,89.645,23.308
148,83.512,83.512,74.242,37.079,10.268
149,270.434,261.239,158.474,0.0,3.177
150,84.464,84.464,37.502,0.0,0.915
151,85.235,56.852,0.0,0.0,0.515
152,138.896,138.896,138.896,0.0,2.083
153,241.599,241.599,139.402,18.603,7.415
154,97.785,97.785,97.785,0.0,1.467
155,161.016,151.516,142.016,0.0,2.231
156,236.317,236.317,85.074,0.0,2.41
157,111.696,111.696,83.772,0.0,1.466
158,132.625,123.209,0.0,0.0,0.953
159,204.869,158.364,0.0,0.0,1.333
160,85.635,85.635,19.011,0.0,0.785
161,339.489,339.489,329.983,0.0,5.021
162,125.776,98.86,44.902,0.0,1.162
163,156.098,156.098,156.098,55.103,15.842
164,135.714,135.714,135.714,126.621,33.058
165,108.837,108.837,99.804,45.385,12.684
166,35.227,35.227,35.227,0.0,0.528
167,109.552,109.552,109.552,18.295,6.126
168,19.055,19.055,19.055,19.055,4.954
169,180.576,180.576,180.576,180.576,46.95
170,340.636,340.636,312.364,132.508,37.362
171,434.436,434.436,415.321,283.252,75.77
172,143.896,143.896,143.896,116.844,30.785
173,48.983,48.983,0.0,0.0,0.367
174,285.912,285.912,285.912,276.477,72.026
175,95.244,95.244,95.244,95.244,24.763
176,224.256,224.256,224.256,224.256,58.307
177,295.121,295.121,295.121,295.121,76.731
178,490.849,490.849,490.849,490.849,127.621
179,45.062,45.062,45.062,45.062,11.716
180,28.867,28.867,28.867,0.0,0.433
181,1222.175,1184.288,974.074,430.206,121.707
182,103.31,103.31,103.31,9.401,3.853
183,136.135,136.135,136.135,0.0,2.042
184,115.406,115.406,53.318,0.0,1.265
185,212.936,203.567,120.309,27.682,9.24
186,316.362,232.629,55.714,0.0,2.424
187,28.594,28.594,28.594,0.0,0.429
188,119.216,119.216,119.216,0.0,1.788
189,218.139,218.139,218.139,218.139,56.716
190,107.348,107.348,107.348,107.348,27.91
191,212.417,212.417,212.417,212.417,55.228
192,86.634,86.634,86.634,86.634,22.525
193,77.435,77.435,77.435,77.435,20.133
194,174.346,174.346,174.346,174.346,45.33
195,105.383,105.383,105.383,105.383,27.4
196,171.006,171.006,171.006,171.006,44.462
197,222.854,222.854,222.854,222.854,57.942
198,192.898,192.898,192.898,192.898,50.153
199,321.983,321.983,321.983,321.983,83.716
200,141.15,141.15,141.15,0.0,2.117
201,453.812,453.812,453.812,387.555,101.758
202,390.855,390.855,390.855,381.475,99.324
203,173.174,173.174,27.362,9.178,3.753
204,124.129,124.129,124.129,124.129,32.274
205,118.961,118.961,109.801,0.0,1.716
206,669.292,669.292,669.292,401.575,108.425
207,130.567,130.567,102.626,0.0,1.749
208,135.255,135.255,99.142,0.0,1.758
209,160.677,160.677,160.677,160.677,41.776
210,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0
214,113.923,18.987,9.845,0.0,0.513
215,9.173,9.173,0.0,0.0,0.069
216,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0,0.0
222,87.179,87.179,87.179,87.179,22.667
223,82.976,82.976,82.976,82.976,21.574
224,58.603,58.603,58.603,58.603,15.237
225,282.932,282.932,282.932,282.932,73.562
226,106.097,106.097,106.097,106.097,27.585
227,135.793,135.793,135.793,135.793,35.306
228,99.487,99.487,99.487,99.487,25.867
229,47.344,47.344,47.344,47.344,12.309
230,74.867,74.867,74.867,74.867,19.465
231,242.871,242.871,242.871,242.871,63.146
232,138.761,138.761,138.761,138.761,36.078
233,156.383,156.383,156.383,156.383,40.66
234,88.866,88.866,88.866,88.866,23.105
235,91.595,91.595,91.595,91.595,23.815
236,156.819,156.819,156.819,156.819,40.773
237,79.227,79.227,79.227,79.227,20.599
238,76.599,76.599,76.599,76.599,19.916
239,250.207,250.207,250.207,250.207,65.054
240,315.601,315.601,315.601,267.63,70.303
241,241.742,241.742,241.742,241.742,62.853
242,195.573,195.573,195.573,195.573,50.849
243,33.833,33.833,33.833,33.833,8.797
244,132.518,132.518,132.518,132.518,34.455
245,41.481,41.481,41.481,41.481,10.785
246,98.678,98.678,98.678,98.678,25.656
247,90.978,90.978,90.978,90.978,23.654
248,57.666,57.666,57.666,57.666,14.993
249,127.452,127.452,127.452,127.452,33.138
250,98.3,98.3,98.3,98.3,25.558
251,136.685,136.685,136.685,136.685,35.538
252,37.245,37.245,37.245,37.245,9.684
253,231.597,231.597,231.597,231.597,60.215
254,186.827,186.827,186.827,186.827,48.575
255,56.828,56.828,56.828,56.828,14.775
256,22.943,22.943,22.943,22.943,5.965
257,25.231,0.0,0.0,0.0,0.079
258,58.862,0.0,0.0,0.0,0.184
259,20.306,0.0,0.0,0.0,0.063
260,13.003,0.0,0.0,0.0,0.041
261,48.812,0.0,0.0,0.0,0.153
262,48.841,0.0,0.0,0.0,0.153
263,21.511,0.0,0.0,0.0,0.067
264,36.05,0.0,0.0,0.0,0.113
265,35.161,0.0,0.0,0.0,0.11
266,35.546,0.0,0.0,0.0,0.111
267,82.976,82.976,82.976,82.976,21.574
268,120.011,120.011,120.011,120.011,31.203
269,35.555,35.555,35.555,35.555,9.244
270,92.725,92.725,92.725,92.725,24.108
271,15.72,15.72,15.72,15.72,4.087
272,69.434,26.038,26.038,26.038,6.905
273,274.022,132.353,132.353,132.353,34.854
274,217.147,217.147,217.147,217.147,56.458
275,157.155,157.155,157.155,157.155,40.86
276,124.355,124.355,124.355,124.355,32.332
277,92.77,92.77,92.77,92.77,24.12
278,181.022,181.022,181.022,181.022,47.066
279,400.523,400.523,400.523,400.523,104.136
280,81.145,81.145,81.145,81.145,21.098
281,26.341,26.341,26.341,26.341,6.849
282,99.199,99.199,99.199,99.199,25.792
283,301.511,301.511,301.511,301.511,78.393
284,118.032,118.032,118.032,118.032,30.688
285,115.507,115.507,115.507,115.507,30.032
286,69.7,34.85,34.85,34.85,9.17
287,77.339,0.0,0.0,0.0,0.242
288,271.85,271.85,271.85,271.85,70.681
289,193.727,193.727,193.727,193.727,50.369
290,487.694,487.694,487.694,487.694,126.8
291,330.33,103.724,103.724,103.724,27.676
292,49.134,49.134,32.773,8.205,2.625
293,273.546,273.546,273.546,273.546,71.122
294,163.099,163.099,163.099,135.861,35.732
295,492.748,492.748,474.024,284.316,76.908
296,524.0,524.0,524.0,524.0,136.24
297,111.571,111.571,111.571,111.571,29.008
298,343.611,343.611,343.611,343.611,89.339
299,307.682,307.682,307.682,307.682,79.997
300,98.964,98.964,98.964,98.964,25.731
301,55.862,55.862,55.862,55.862,14.524
302,112.323,112.323,112.323,112.323,29.204
303,179.716,179.716,179.716,179.716,46.726
304,105.819,105.819,105.819,105.819,27.513
305,104.678,104.678,104.678,104.678,27.216
306,177.564,177.564,177.564,177.564,46.167
307,399.215,399.215,399.215,399.215,103.796
308,418.357,418.357,418.357,418.357,108.773
309,47.123,47.123,47.123,47.123,12.252
310,106.424,106.424,106.424,106.424,27.67
311,116.64,116.64,116.64,116.64,30.326
312,60.673,60.673,60.673,60.673,15.775
313,116.271,116.271,116.271,116.271,30.23
314,91.548,91.548,91.548,91.548,23.802
315,93.59,93.59,93.59,93.59,24.333
316,99.876,99.876,99.876,63.521,17.061
317,44.596,44.596,44.596,0.0,0.669
318,205.381,205.381,205.381,102.69,28.24
319,22.043,22.043,22.043,22.043,5.731
320,205.606,205.606,205.606,205.606,53.458
321,240.053,166.117,0.0,0.0,1.477
322,68.736,68.736,68.736,0.0,1.031
323,133.964,133.964,124.452,0.0,1.938
324,127.685,127.685,118.62,36.518,10.794
325,95.486,95.486,95.486,0.0,1.432
326,48.575,48.575,48.575,8.112,2.716
327,45.981,45.981,45.981,0.0,0.69
328,66.265,66.265,0.0,0.0,0.497
329,223.565,223.565,214.175,102.393,28.369
330,98.465,98.465,98.465,98.465,25.601
331,97.9,97.9,97.9,97.9,25.454
332,210.815,210.815,210.815,210.815,54.812
333,37.275,37.275,0.0,0.0,0.28
334,99.044,99.044,44.966,9.013,3.288
335,252.229,46.662,0.0,0.0,0.992
336,86.656,77.99,0.0,0.0,0.612
337,210.907,210.907,210.907,55.047,16.65
338,93.432,93.432,84.089,0.0,1.331
339,66.224,66.224,37.814,0.0,0.78
340,220.473,192.914,156.095,0.0,2.704
341,179.323,122.657,0.0,0.0,1.097
342,132.305,122.911,94.466,0.0,1.66
343,142.166,142.166,142.166,104.207,27.663
