xid,haz_50yr_cT2,haz_200yr_cT2,haz_100yr_cT2,haz_1000yr_cT2
170,0.3889,1.0,0.9167,1.0
171,0.6522,1.0,0.9565,1.0
172,0.8125,1.0,1.0,1.0
173,0.0,1.0,0.0,1.0
174,0.9667,1.0,1.0,1.0
175,1.0,1.0,1.0,1.0
176,1.0,1.0,1.0,1.0
177,1.0,1.0,1.0,1.0
178,1.0,1.0,1.0,1.0
179,1.0,1.0,1.0,1.0
180,0.0,1.0,1.0,1.0
181,0.3516,0.9688,0.7969,1.0
182,0.0909,1.0,1.0,1.0
183,0.0,1.0,1.0,1.0
184,0.0,1.0,0.4615,1.0
185,0.1304,0.9565,0.5652,1.0
186,0.0,0.7143,0.1714,0.9714
187,0.0,1.0,1.0,1.0
188,0.0,1.0,1.0,1.0
189,1.0,1.0,1.0,1.0
190,1.0,1.0,1.0,1.0
191,1.0,1.0,1.0,1.0
192,1.0,1.0,1.0,1.0
193,1.0,1.0,1.0,1.0
194,1.0,1.0,1.0,1.0
195,1.0,1.0,1.0,1.0
196,1.0,1.0,1.0,1.0
197,1.0,1.0,1.0,1.0
198,1.0,1.0,1.0,1.0
199,1.0,1.0,1.0,1.0
200,0.0,1.0,1.0,1.0
201,0.8542,1.0,1.0,1.0
202,0.9756,1.0,1.0,1.0
203,0.0526,1.0,0.1579,1.0
204,1.0,1.0,1.0,1.0
205,0.0,1.0,0.9231,1.0
206,0.6,1.0,1.0,1.0
207,0.0,1.0,0.7857,1.0
208,0.0,1.0,0.7333,1.0
209,1.0,1.0,1.0,1.0
210,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0
214,0.0,0.027,0.0135,0.1622
215,0.0,0.1111,0.0,0.1111
216,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0
222,1.0,1.0,1.0,1.0
223,1.0,1.0,1.0,1.0
224,1.0,1.0,1.0,1.0
225,1.0,1.0,1.0,1.0
226,1.0,1.0,1.0,1.0
227,1.0,1.0,1.0,1.0
228,1.0,1.0,1.0,1.0
229,1.0,1.0,1.0,1.0
230,1.0,1.0,1.0,1.0
231,1.0,1.0,1.0,1.0
232,1.0,1.0,1.0,1.0
233,1.0,1.0,1.0,1.0
234,1.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0
236,1.0,1.0,1.0,1.0
237,1.0,1.0,1.0,1.0
238,1.0,1.0,1.0,1.0
239,1.0,1.0,1.0,1.0
240,0.8485,1.0,1.0,1.0
241,1.0,1.0,1.0,1.0
242,1.0,1.0,1.0,1.0
243,1.0,1.0,1.0,1.0
244,1.0,1.0,1.0,1.0
245,1.0,1.0,1.0,1.0
246,1.0,1.0,1.0,1.0
247,1.0,1.0,1.0,1.0
248,1.0,1.0,1.0,1.0
249,1.0,1.0,1.0,1.0
250,1.0,1.0,1.0,1.0
251,1.0,1.0,1.0,1.0
252,1.0,1.0,1.0,1.0
253,1.0,1.0,1.0,1.0
254,1.0,1.0,1.0,1.0
255,1.0,1.0,1.0,1.0
256,1.0,1.0,1.0,1.0
257,0.0,0.0,0.0,1.0
258,0.0,0.0,0.0,1.0
259,0.0,0.0,0.0,1.0
260,0.0,0.0,0.0,1.0
261,0.0,0.0,0.0,1.0
262,0.0,0.0,0.0,1.0
263,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,1.0
265,0.0,0.0,0.0,1.0
266,0.0,0.0,0.0,1.0
267,1.0,1.0,1.0,1.0
268,1.0,1.0,1.0,1.0
269,1.0,1.0,1.0,1.0
270,1.0,1.0,1.0,1.0
271,1.0,1.0,1.0,1.0
272,0.375,0.375,0.375,1.0
273,0.4828,0.4828,0.4828,1.0
274,1.0,1.0,1.0,1.0
275,1.0,1.0,1.0,1.0
276,1.0,1.0,1.0,1.0
277,1.0,1.0,1.0,1.0
278,1.0,1.0,1.0,1.0
279,1.0,1.0,1.0,1.0
280,1.0,1.0,1.0,1.0
281,1.0,1.0,1.0,1.0
282,1.0,1.0,1.0,1.0
283,1.0,1.0,1.0,1.0
284,1.0,1.0,1.0,1.0
285,1.0,1.0,1.0,1.0
286,0.5,0.5,0.5,1.0
287,0.0,0.0,0.0,1.0
288,1.0,1.0,1.0,1.0
289,1.0,1.0,1.0,1.0
290,1.0,1.0,1.0,1.0
291,0.3143,0.3143,0.3143,1.0
292,0.1667,1.0,0.6667,1.0
293,1.0,1.0,1.0,1.0
294,0.8333,1.0,1.0,1.0
295,0.5769,1.0,0.9615,1.0
296,1.0,1.0,1.0,1.0
297,1.0,1.0,1.0,1.0
298,1.0,1.0,1.0,1.0
299,1.0,1.0,1.0,1.0
300,1.0,1.0,1.0,1.0
301,1.0,1.0,1.0,1.0
302,1.0,1.0,1.0,1.0
303,1.0,1.0,1.0,1.0
304,1.0,1.0,1.0,1.0
305,1.0,1.0,1.0,1.0
306,1.0,1.0,1.0,1.0
307,1.0,1.0,1.0,1.0
308,1.0,1.0,1.0,1.0
309,1.0,1.0,1.0,1.0
310,1.0,1.0,1.0,1.0
311,1.0,1.0,1.0,1.0
312,1.0,1.0,1.0,1.0
313,1.0,1.0,1.0,1.0
314,1.0,1.0,1.0,1.0
315,1.0,1.0,1.0,1.0
316,0.6364,1.0,1.0,1.0
317,0.0,1.0,1.0,1.0
318,0.5,1.0,1.0,1.0
319,1.0,1.0,1.0,1.0
320,1.0,1.0,1.0,1.0
321,0.0,0.6923,0.0,1.0
322,0.0,1.0,1.0,1.0
323,0.0,1.0,0.9286,1.0
324,0.2857,1.0,0.9286,1.0
325,0.0,1.0,1.0,1.0
326,0.1667,1.0,1.0,1.0
327,0.0,1.0,1.0,1.0
328,0.0,1.0,0.0,1.0
329,0.4583,1.0,0.9583,1.0
330,1.0,1.0,1.0,1.0
331,1.0,1.0,1.0,1.0
332,1.0,1.0,1.0,1.0
333,0.0,1.0,0.0,1.0
334,0.0909,1.0,0.4545,1.0
335,0.0,0.1852,0.0,1.0
336,0.0,0.9,0.0,1.0
337,0.2609,1.0,1.0,1.0
338,0.0,1.0,0.9,1.0
339,0.0,1.0,0.5714,1.0
340,0.0,0.875,0.7083,1.0
341,0.0,0.6842,0.0,1.0
342,0.0,0.9286,0.7143,1.0
343,0.7333,1.0,1.0,1.0
344,1.0,1.0,1.0,1.0
345,0.0,1.0,0.6,1.0
346,0.2857,1.0,1.0,1.0
347,0.2727,1.0,1.0,1.0
348,1.0,1.0,1.0,1.0
349,0.1111,1.0,1.0,1.0
350,1.0,1.0,1.0,1.0
351,0.6,1.0,1.0,1.0
352,0.9,1.0,1.0,1.0
353,0.0,1.0,1.0,1.0
354,0.1333,1.0,1.0,1.0
355,0.0,1.0,1.0,1.0
356,0.3,1.0,1.0,1.0
357,0.7778,1.0,1.0,1.0
358,0.0714,1.0,1.0,1.0
359,0.0,1.0,1.0,1.0
360,0.4118,1.0,1.0,1.0
361,0.1,1.0,0.9,1.0
362,0.0,1.0,0.75,1.0
363,0.6,1.0,0.9333,1.0
364,0.0,1.0,0.8889,1.0
365,0.037,1.0,0.9259,1.0
366,0.25,1.0,1.0,1.0
367,0.0,1.0,0.7333,1.0
368,0.0,1.0,1.0,1.0
369,0.0909,1.0,1.0,1.0
370,0.8,1.0,1.0,1.0
371,0.625,1.0,1.0,1.0
372,0.9,1.0,1.0,1.0
373,0.4,1.0,0.9,1.0
374,0.4545,1.0,1.0,1.0
375,0.3636,1.0,1.0,1.0
376,0.4118,1.0,1.0,1.0
377,0.25,1.0,1.0,1.0
378,0.1429,1.0,0.5714,1.0
379,0.2857,1.0,0.7143,1.0
380,0.0,1.0,0.7333,1.0
381,1.0,1.0,1.0,1.0
382,0.4,1.0,1.0,1.0
383,0.0,1.0,1.0,1.0
384,1.0,1.0,1.0,1.0
385,0.0,1.0,0.7143,1.0
386,0.0,1.0,0.0,1.0
387,0.2,1.0,0.8,1.0
388,0.0,1.0,0.0909,1.0
389,0.0,1.0,1.0,1.0
390,1.0,1.0,1.0,1.0
391,0.8333,1.0,1.0,1.0
392,0.1667,1.0,1.0,1.0
393,0.5,1.0,1.0,1.0
394,0.8333,1.0,1.0,1.0
395,0.4118,0.7647,0.7059,0.8235
396,0.0,0.0909,0.0,0.3636
397,0.0,0.3636,0.0909,0.9091
398,0.0,1.0,1.0,1.0
399,0.4074,0.9259,0.6296,1.0
400,0.1538,1.0,0.8077,1.0
401,0.0541,0.7297,0.5135,0.9459
402,0.0,0.1818,0.0,0.6364
403,0.0811,0.8649,0.7568,1.0
404,0.0909,0.3636,0.0909,0.6364
405,0.0,0.6552,0.5517,0.8966
406,0.0,0.0,0.0,1.0
407,0.0,0.0,0.0,0.7143
408,0.1944,1.0,1.0,1.0
409,0.4839,1.0,1.0,1.0
410,0.1,1.0,0.7,1.0
411,0.0,0.3846,0.1923,1.0
412,0.0,1.0,0.6667,1.0
413,0.0,0.5,0.0,1.0
414,0.0,0.2,0.0,1.0
415,0.0,0.0,0.0,0.0667
416,0.0,1.0,0.0,1.0
417,0.3333,1.0,1.0,1.0
418,0.0,1.0,0.9286,1.0
419,0.0,1.0,0.6429,1.0
420,0.5385,1.0,1.0,1.0
421,0.0,1.0,0.8333,1.0
422,0.1837,0.7551,0.449,1.0
423,0.1364,1.0,0.9545,1.0
424,0.4054,0.973,0.7568,1.0
425,0.1071,0.7143,0.5,0.9286
426,0.0,1.0,0.4444,1.0
427,0.0612,1.0,0.9388,1.0
428,0.5641,1.0,0.8974,1.0
429,0.8333,1.0,1.0,1.0
430,0.0,1.0,1.0,1.0
431,0.0,1.0,0.1429,1.0
432,0.0,1.0,0.3333,1.0
433,0.0,0.7143,0.0,1.0
434,0.0,0.5714,0.0,1.0
435,0.0,0.3684,0.0,0.8947
436,0.0,1.0,1.0,1.0
437,0.3684,1.0,1.0,1.0
438,1.0,1.0,1.0,1.0
439,0.0,1.0,1.0,1.0
440,0.0,1.0,0.4571,1.0
441,0.0,1.0,1.0,1.0
442,0.1724,1.0,1.0,1.0
443,0.0,1.0,0.2,1.0
444,0.0,0.6087,0.0435,1.0
445,0.0,0.8889,0.2222,1.0
446,0.0,0.7,0.0,1.0
447,0.0,0.4,0.0,1.0
448,0.0,0.8571,0.2857,1.0
449,1.0,1.0,1.0,1.0
450,0.0,1.0,0.4375,1.0
451,0.3158,1.0,0.8947,1.0
452,1.0,1.0,1.0,1.0
453,0.1,0.8,0.7,1.0
454,1.0,1.0,1.0,1.0
455,1.0,1.0,1.0,1.0
456,0.0,1.0,0.0,1.0
457,0.0,1.0,0.5,1.0
458,0.0,1.0,0.0667,1.0
459,0.0,1.0,0.7273,1.0
460,0.0,1.0,0.25,1.0
461,0.0,1.0,0.8182,1.0
462,0.2222,1.0,1.0,1.0
463,0.0,1.0,1.0,1.0
464,0.5789,1.0,0.9474,1.0
465,0.7826,1.0,1.0,1.0
466,0.0,1.0,0.0667,0.9333
467,0.2222,1.0,1.0,1.0
468,0.1818,1.0,1.0,1.0
469,0.5333,1.0,1.0,1.0
470,0.7,1.0,1.0,1.0
471,0.0,1.0,1.0,1.0
472,0.0,1.0,1.0,1.0
473,0.625,1.0,1.0,1.0
474,0.8667,1.0,1.0,1.0
475,0.75,1.0,1.0,1.0
476,1.0,1.0,1.0,1.0
477,1.0,1.0,1.0,1.0
478,0.0,1.0,1.0,1.0
479,0.381,1.0,0.8571,1.0
480,0.0,1.0,1.0,1.0
481,0.3636,1.0,1.0,1.0
482,0.5833,1.0,0.75,1.0
483,0.2353,1.0,0.5882,1.0
484,1.0,1.0,1.0,1.0
485,1.0,1.0,1.0,1.0
486,1.0,1.0,1.0,1.0
487,0.0,1.0,1.0,1.0
488,0.0,0.7917,0.0,1.0
489,0.0,1.0,1.0,1.0
490,0.6364,1.0,1.0,1.0
491,0.0,1.0,1.0,1.0
492,0.0,1.0,0.7,1.0
493,0.0,1.0,0.4,1.0
494,0.0,0.0,0.0,1.0
495,0.0,0.5333,0.0,1.0
496,0.0,1.0,0.2,1.0
497,0.0,1.0,0.5714,1.0
498,0.0,1.0,1.0,1.0
499,0.0,1.0,1.0,1.0
500,0.0,1.0,1.0,1.0
501,1.0,1.0,1.0,1.0
502,0.0,1.0,1.0,1.0
503,0.0,1.0,1.0,1.0
504,0.0,1.0,1.0,1.0
505,0.0,1.0,0.5556,1.0
506,0.6667,1.0,1.0,1.0
507,1.0,1.0,1.0,1.0
508,0.4286,1.0,1.0,1.0
509,1.0,1.0,1.0,1.0
510,0.7692,1.0,1.0,1.0
511,0.2727,1.0,1.0,1.0
512,0.0,1.0,1.0,1.0
513,0.0,1.0,0.4545,1.0
514,0.0,1.0,0.0,1.0
515,0.9474,1.0,1.0,1.0
516,0.2,1.0,1.0,1.0
517,0.0,1.0,1.0,1.0
518,0.0,0.9286,0.0,1.0
519,0.0,0.8333,0.3333,1.0
520,0.0,1.0,0.0,1.0
521,0.0,0.9,0.6,1.0
522,0.0,1.0,1.0,1.0
523,0.1,1.0,0.7,1.0
524,0.8571,1.0,1.0,1.0
525,0.5714,1.0,1.0,1.0
526,0.0,1.0,1.0,1.0
527,1.0,1.0,1.0,1.0
528,1.0,1.0,1.0,1.0
529,1.0,1.0,1.0,1.0
530,1.0,1.0,1.0,1.0
531,1.0,1.0,1.0,1.0
532,1.0,1.0,1.0,1.0
533,0.0,0.0,0.0,1.0
534,1.0,1.0,1.0,1.0
535,1.0,1.0,1.0,1.0
536,1.0,1.0,1.0,1.0
537,0.0,0.0,0.0,1.0
