rEventName,haz_1000yr_cT2,haz_1000yr_cT2,haz_1000yr_fail_A_cT3,haz_1000yr_fail_A_cT3,haz_1000yr_fail_B_cT3,haz_1000yr_fail_B_cT3,haz_100yr_cT2,haz_100yr_cT2,haz_200yr_cT2,haz_200yr_cT2,haz_50yr_cT2,haz_50yr_cT2
nestID,f0,f1,f0,f1,f0,f1,f0,f1,f0,f1,f0,f1
xid,,,,,,,,,,,,
14879,0.6610019808497393,0.33899801915026073,0.8203054806828391,0.17969451931716082,0.8203054806828391,0.17969451931716082,0.6479671511108044,0.35203284888919556,0.6519950215563857,0.3480049784436144,0.6088461124512291,0.3911538875487709
14880,0.7230582970820023,0.27694170291799775,0.8698769514813832,0.13012304851861675,0.8698769514813832,0.13012304851861675,0.6923008524491399,0.3076991475508601,0.699813276695289,0.30018672330471097,0.686789011055095,0.31321098894490496
14925,0.6458219488888489,0.354178051111151,0.8390352415738045,0.16096475842619545,0.826419822867051,0.17358017713294902,0.6368385195213823,0.3631614804786178,0.6372524893247792,0.3627475106752208,0.0,1.0
14926,0.5945215204465683,0.4054784795534317,0.797726184124019,0.202273815875981,0.7882229298887872,0.2117770701112128,0.5771175548229858,0.4228824451770143,0.589776575914306,0.41022342408569407,0.0,1.0
14927,0.7083499951781272,0.2916500048218727,0.8749547155550508,0.12504528444494917,0.8648176334568679,0.13518236654313215,0.6996167109231379,0.30038328907686207,0.7005444604345423,0.2994555395654577,0.6348938674451368,0.36510613255486324
14928,0.7246401927313871,0.27535980726861287,0.869281045751634,0.13071895424836602,0.869281045751634,0.13071895424836602,0.7086571123637818,0.29134288763621824,0.7215505402476419,0.2784494597523582,0.0,1.0
14933,0.6675256746134385,0.3324743253865615,0.8495679108990695,0.1504320891009306,0.8376893279059702,0.16231067209402986,0.6579750084103324,0.34202499158966765,0.6601002568282459,0.3398997431717541,0.0,1.0
14934,0.8284168178800714,0.1715831821199286,0.848237687462879,0.15176231253712105,0.848237687462879,0.15176231253712105,0.6800176382439312,0.3199823617560687,0.8203917805998375,0.17960821940016247,0.6534927320790103,0.34650726792098974
14935,0.800279412985878,0.19972058701412196,0.8262108032369837,0.17378919676301632,0.8262108032369837,0.17378919676301632,0.632981718153428,0.367018281846572,0.7756896630190507,0.2243103369809492,1.0,0.0
14936,0.8322118180240272,0.16778818197597276,0.849624060150376,0.15037593984962405,0.849624060150376,0.15037593984962405,0.677631007706791,0.3223689922932091,0.69586885495906,0.30413114504094,1.0,0.0
14937,0.8005100655245408,0.19948993447545918,0.8239111971488828,0.1760888028511172,0.8239111971488828,0.1760888028511172,0.636749818632425,0.3632501813675751,0.7924063641698391,0.2075936358301609,0.6112169805431426,0.38878301945685745
14938,0.8493286690746352,0.15067133092536475,0.8529411764705882,0.14705882352941177,0.8529411764705882,0.14705882352941177,0.7616018960043579,0.238398103995642,0.8375574364885077,0.16244256351149236,0.681510068289257,0.3184899317107431
14939,0.8200818719944294,0.17991812800557055,0.8414395965411506,0.1585604034588493,0.8414395965411506,0.1585604034588493,0.6661684776065111,0.3338315223934889,0.812417879031156,0.1875821209688439,0.640963843919466,0.35903615608053396
14940,0.8175316544860012,0.18246834551399882,0.8413199337961376,0.1586800662038625,0.8413199337961376,0.1586800662038625,0.6593902480956971,0.34060975190430287,0.8084170400489427,0.1915829599510574,1.0,0.0
14941,0.6996996996996997,0.3003003003003003,0.6996996996996997,0.3003003003003003,0.6996996996996997,0.3003003003003003,0.6996996996996997,0.3003003003003003,0.6996996996996997,0.3003003003003003,0.6263503387198368,0.3736496612801632
14942,0.8169189890222991,0.18308101097770094,0.8408756067970048,0.15912439320299518,0.8408756067970048,0.15912439320299518,0.6584197818135445,0.34158021818645545,0.8071816837370056,0.19281831626299437,0.6378401485092418,0.36215985149075824
14943,0.8034353365675208,0.19656466343247922,0.8092286189731601,0.1907713810268399,0.8092286189731601,0.1907713810268399,0.7758719011826362,0.2241280988173639,0.7829572131816108,0.21704278681838912,0.5962584826553761,0.4037415173446239
14944,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666
14945,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
14946,0.8120295643034054,0.18797043569659458,0.835084548523832,0.1649154514761681,0.835084548523832,0.1649154514761681,0.6527611455051788,0.34723885449482117,0.8049423832269207,0.19505761677307934,0.6291998088561946,0.3708001911438054
14947,0.8025526433835164,0.1974473566164836,0.8095238095238095,0.19047619047619047,0.8095238095238095,0.19047619047619047,0.6368270942886344,0.36317290571136557,0.7827704487600643,0.21722955123993565,0.6164858338679707,0.3835141661320293
14948,0.8368266080920098,0.1631733919079902,0.8559621998720368,0.1440378001279632,0.8559621998720368,0.1440378001279632,0.6925399377040066,0.30746006229599343,0.8291976429453346,0.17080235705466534,0.6670272535644052,0.3329727464355948
