xid,NHC2019_dt
13830,10.62890625
13831,10.36157227
13834,10.63049316
13835,10.578125
13836,10.57348633
13837,10.57897949
13844,10.14135742
16163,10.83728027
77562,10.69665527
2595,10.62878418
2596,10.81616211
